Experiment	bias spectroscopy	
Saved Date	11.07.2022 10:54:48	
User		
Date		
X (m)	-730.408E-9	
Y (m)	-446.373E-9	
Z (m)	-76.7532E-9	
Z offset (m)	0E+0	
Settling time (s)	5E-3	
Integration time (s)	16E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	11.07.2022 10:54:13	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	-500E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	-600E-3	
Bias Spectroscopy>Sweep End (V)	500E-3	
Bias Spectroscopy>Num Pixel	201	
Bias Spectroscopy>Z Avg time (s)	150E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	5E-3	
Bias Spectroscopy>Integration time (s)	16E-3	
Bias Spectroscopy>End Settling time (s)	100E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);T-Cryostat (V);T-STM (V);Bias (V);X (m);Y (m);Z (m);OC D1 Phase (deg);OC D1 Amplitude (m);OC M1 Freq. Shift (Hz);OC M1 Excitation (V);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Current>Current (A)	49.0518E-15	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-281.86E-15	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	ON	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	719E+0	
Lock-in>Amplitude	10E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	155.425E+0	
Lock-in>HP Filter Order D1	1	
Lock-in>HP Filter Order D2	1	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-31.1843E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	1.2434E+3	
Lock-in>LP Filter Cutoff D2 (Hz)	2.4868E+3	
Lock-in>LP Filter Order D1	2	
Lock-in>LP Filter Order D2	2	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	98E-9	
Oscillation Control>Input Range (m)	5E-9	
Oscillation Control>Center Frequency (Hz)	28.6616E+3	
Oscillation Control>Range (Hz)	38.147E+0	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	272.38E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	-69.5959E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	90E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	97.1	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	349.066E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	411.648E-3	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	200E-12	
Oscillation Control>Amplitude P gain (V/nm)	1.00363E+9	
Oscillation Control>Amplitude I gain (V/nm/s)	1.18356E+9	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	3.327E-3	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	76.354E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	10E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	20E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	53.087E-9	
Temperature 1>Temperature 1 (K)	4.22999E+0	
Temperature 2>Temperature 2 (K)	4.7376E+0	
Z-Controller>Z (m)	180.4E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	OFF	
Z-Controller>Setpoint	100E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	1E-12	
Z-Controller>I gain	33.3333E-9	
Z-Controller>Time const (s)	30E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	T-Cryostat (V)	T-STM (V)	Bias (V)	X (m)	Y (m)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	T-Cryostat [bwd] (V)	T-STM [bwd] (V)	Bias [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)
-600.00002E-3	-102.63346E-12	1.5775112E+0	1.5605451E+0	-600.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	66.202591E+0	699.91490E-15	0.0000000E+0	3.3270002E-3	-29.132814E-15	2.4736643E-12	-106.28805E-12	1.5774990E+0	1.5606180E+0	-600.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	41.561768E+0	552.50807E-15	0.0000000E+0	3.3270002E-3	-80.399446E-15	2.5838218E-12
-594.50001E-3	-102.43180E-12	1.5775110E+0	1.5605445E+0	-594.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-37.164383E+0	422.06933E-15	0.0000000E+0	3.3270002E-3	-55.429846E-15	2.5333696E-12	-106.54141E-12	1.5775002E+0	1.5606160E+0	-594.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	29.170303E+0	567.66560E-15	0.0000000E+0	3.3270002E-3	116.41915E-15	2.4690796E-12
-589.00005E-3	-102.48585E-12	1.5775080E+0	1.5605541E+0	-589.00005E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	89.668037E+0	418.53668E-15	0.0000000E+0	3.3270002E-3	-25.983842E-15	2.5520835E-12	-106.41932E-12	1.5774992E+0	1.5606167E+0	-589.00005E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	33.485764E+0	458.75093E-15	0.0000000E+0	3.3270002E-3	8.3412044E-15	2.4771036E-12
-583.50003E-3	-102.75351E-12	1.5775105E+0	1.5605594E+0	-583.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	22.088949E+0	444.63649E-15	0.0000000E+0	3.3270002E-3	6.7450017E-15	2.5551011E-12	-106.36730E-12	1.5774957E+0	1.5606230E+0	-583.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	11.358478E+0	673.56326E-15	0.0000000E+0	3.3270002E-3	77.824005E-15	2.5221158E-12
-578.00001E-3	-102.84607E-12	1.5775094E+0	1.5605493E+0	-578.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	44.973171E+0	638.89085E-15	0.0000000E+0	3.3270002E-3	-28.002945E-15	2.5140434E-12	-106.23482E-12	1.5774969E+0	1.5606124E+0	-578.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	30.150467E+0	321.08758E-15	0.0000000E+0	3.3270002E-3	1.1859376E-15	2.4528682E-12
-572.50005E-3	-102.91189E-12	1.5775167E+0	1.5605532E+0	-572.50005E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	10.700804E+0	397.81787E-15	0.0000000E+0	3.3270002E-3	72.681492E-15	2.5251114E-12	-106.24980E-12	1.5774945E+0	1.5606122E+0	-572.50005E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	61.223755E+0	514.03944E-15	0.0000000E+0	3.3270002E-3	99.888095E-15	2.5050058E-12
-567.00003E-3	-103.09019E-12	1.5775118E+0	1.5605513E+0	-567.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-14.251344E+0	465.33865E-15	0.0000000E+0	3.3270002E-3	14.407487E-15	2.5106802E-12	-106.19156E-12	1.5774931E+0	1.5606165E+0	-567.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	55.553883E+0	560.97087E-15	0.0000000E+0	3.3270002E-3	105.66090E-15	2.5162431E-12
-561.50001E-3	-103.32442E-12	1.5775181E+0	1.5605509E+0	-561.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-50.204487E+0	560.27839E-15	0.0000000E+0	3.3270002E-3	167.41719E-15	2.5431016E-12	-106.30824E-12	1.5774907E+0	1.5606153E+0	-561.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	78.668106E+0	523.08906E-15	0.0000000E+0	3.3270002E-3	95.301832E-15	2.5401163E-12
-555.99999E-3	-103.03837E-12	1.5775180E+0	1.5605527E+0	-555.99999E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-20.292217E+0	536.52774E-15	0.0000000E+0	3.3270002E-3	127.64709E-15	2.6330459E-12	-106.26575E-12	1.5774925E+0	1.5606139E+0	-555.99999E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-63.692902E+0	750.92981E-15	0.0000000E+0	3.3270002E-3	119.10824E-15	2.5643042E-12
-550.50004E-3	-102.50464E-12	1.5775087E+0	1.5605567E+0	-550.50004E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-37.236862E+0	339.42659E-15	0.0000000E+0	3.3270002E-3	116.08275E-15	2.6165953E-12	-105.86963E-12	1.5774972E+0	1.5606219E+0	-550.50004E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	49.230412E+0	521.79116E-15	0.0000000E+0	3.3270002E-3	239.15435E-15	2.4397205E-12
-545.00002E-3	-101.99896E-12	1.5775211E+0	1.5605619E+0	-545.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	132.05241E+0	709.97667E-15	0.0000000E+0	3.3270002E-3	83.836346E-15	2.5106482E-12	-105.55078E-12	1.5774962E+0	1.5606220E+0	-545.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	13.910670E+0	678.30637E-15	0.0000000E+0	3.3270002E-3	208.55015E-15	2.5106169E-12
