x (nm),y (nm),zpen (mm),Force (N),Freq Shift (Hz)
13.46153,-49.6592,26.412,0.021,-2.787
13.55253,-49.6432,25.992,0.036,-2.792
13.62953,-49.6142,25.661,0.027,-2.795
13.71453,-49.5722,25.335,0.025,-2.789
13.79353,-49.5382,25.179,0.011,-2.801
13.91053,-49.5022,24.997,0.013,-2.804
14.01053,-49.4682,24.726,0.031,-2.804
14.09353,-49.4292,24.272,0.056,-2.796
14.20053,-49.3732,23.592,0.053,-2.795
14.32853,-49.3202,23.047,0.003,-2.793
14.35553,-49.3122,23.095,-0.006,-2.79
14.36053,-49.3042,23.17,-0.003,-2.788
14.35053,-49.2962,23.181,0,-2.797
14.32553,-49.2872,23.088,0.005,-2.798
14.30953,-49.2862,23.061,0.001,-2.8
14.28353,-49.2982,23.056,0.001,-2.799
14.27253,-49.3092,22.958,0.016,-2.806
14.26453,-49.3222,22.753,0.026,-2.797
14.26953,-49.3502,22.214,0.03,-2.796
14.28353,-49.3702,21.827,0.035,-2.791
14.30453,-49.3862,21.415,0.037,-2.794
14.33953,-49.4062,20.536,0.054,-2.791
14.36453,-49.4202,19.768,0.07,-2.79
14.38753,-49.4342,19.181,0.053,-2.791
14.41153,-49.4432,18.491,0.056,-2.8
14.43553,-49.4592,17.808,0.052,-2.799
14.46853,-49.4862,17.122,0.045,-2.802
14.49753,-49.5072,16.57,0.049,-2.801
14.53553,-49.5272,15.967,0.052,-2.796
14.56453,-49.5422,15.652,0.03,-2.805
14.60653,-49.5642,15.295,0.019,-2.797
14.61653,-49.5702,15.224,0.017,-2.799
14.66253,-49.5882,14.968,0.015,-2.801
14.68653,-49.5962,14.902,0.004,-2.805
14.73253,-49.6032,14.754,0.014,-2.809
14.75553,-49.6132,14.585,0.015,-2.801
14.77553,-49.6242,14.461,0.007,-2.8
14.79953,-49.6342,14.281,0.015,-2.803
14.81253,-49.6332,14.094,0.008,-2.796
14.81253,-49.6352,14.051,0.004,-2.805
14.81353,-49.6452,13.99,0.004,-2.807
14.81453,-49.6482,13.974,0.002,-2.81
14.81353,-49.6452,13.96,0.002,-2.804
