x (nm),y (nm),zpen (mm),Force (N),zafm (nm)
12.664,-47.086,24.264,-0.014,2.471
12.579,-47.073,24.423,-0.018,2.468
12.509,-47.064,24.47,-0.009,2.467
12.426,-47.055,24.481,-0.003,2.469
12.319,-47.042,24.438,0.004,2.469
12.251,-47.037,24.42,0.001,2.469
12.133,-47.03,24.414,0,2.467
12.056,-47.026,24.398,0.001,2.47
11.991,-47.024,24.394,-0.001,2.47
11.891,-47.024,24.411,-0.003,2.469
11.8,-47.029,24.447,-0.005,2.47
11.745,-47.035,24.501,-0.01,2.47
11.692,-47.042,24.597,-0.01,2.472
11.639,-47.048,24.693,-0.008,2.466
11.579,-47.054,24.796,-0.005,2.469
11.564,-47.055,24.806,-0.003,2.467
11.527,-47.055,24.821,0.003,2.469
11.498,-47.053,24.803,0.005,2.47
11.46,-47.054,24.717,0.006,2.47
11.443,-47.055,24.634,0.01,2.466
11.427,-47.057,24.493,0.013,2.472
11.421,-47.056,24.336,0.005,2.469
11.421,-47.055,24.33,0,2.468
11.424,-47.055,24.31,0.004,2.47
11.429,-47.052,24.244,0.005,2.47
11.429,-47.052,24.222,0.003,2.468
11.425,-47.054,24.24,-0.003,2.471
11.414,-47.059,24.294,-0.004,2.471
11.409,-47.061,24.34,-0.005,2.469
11.412,-47.061,24.356,-0.003,2.472
11.417,-47.059,24.374,-0.001,2.47
11.421,-47.053,24.375,-0.003,2.466
11.418,-47.048,24.439,-0.008,2.47
11.41,-47.04,24.525,-0.005,2.467
11.403,-47.031,24.493,0.003,2.469
11.403,-47.03,24.495,0,2.469
11.404,-47.028,24.518,-0.003,2.471
11.403,-47.027,24.59,-0.007,2.469
11.39,-47.028,24.828,-0.016,2.47
11.381,-47.025,24.965,-0.013,2.468
11.376,-47.02,25.069,-0.009,2.47
11.365,-47.016,25.142,-0.002,2.468
11.34,-47.011,25.221,-0.007,2.469
11.3,-46.988,25.403,-0.015,2.471
11.278,-46.974,25.521,-0.011,2.47
11.236,-46.957,25.722,-0.013,2.468
11.169,-46.946,26.015,-0.013,2.47
11.138,-46.945,26.087,-0.004,2.471
11.111,-46.941,26.078,0.005,2.469
11.09,-46.936,26.044,0.001,2.468
11.055,-46.926,26.053,0,2.468
11.038,-46.923,26.045,0,2.469
11.021,-46.919,26.045,0,2.472
10.994,-46.914,26.038,0.006,2.471
10.967,-46.902,25.973,0.009,2.469
10.951,-46.893,25.875,0.012,2.47
10.933,-46.882,25.775,0.01,2.469
10.917,-46.875,25.715,0.003,2.47
10.903,-46.875,25.712,-0.001,2.469
10.892,-46.881,25.724,0.001,2.468
10.889,-46.885,25.703,0.002,2.47
10.889,-46.889,25.678,0.002,2.47
10.889,-46.894,25.729,-0.008,2.469
10.887,-46.899,25.821,-0.004,2.469
10.885,-46.899,25.835,0,2.47
10.879,-46.898,25.827,0,2.468
10.863,-46.908,25.883,-0.006,2.47
10.86,-46.916,25.972,-0.009,2.468
10.859,-46.922,26.03,-0.006,2.469
10.858,-46.929,26.093,-0.004,2.468
10.857,-46.932,26.118,-0.002,2.472
10.857,-46.933,26.138,0,2.47
10.859,-46.927,26.13,0.002,2.468
10.862,-46.919,26.048,0.009,2.469
10.868,-46.915,25.983,0.008,2.471
10.886,-46.92,25.968,-0.004,2.472
10.893,-46.929,26.017,-0.006,2.468
10.892,-46.937,26.079,-0.01,2.467
10.888,-46.951,26.198,-0.008,2.47
10.885,-46.963,26.277,-0.003,2.467
10.883,-46.966,26.295,0,2.469
10.88,-46.969,26.256,0.003,2.47
10.876,-46.972,26.209,0.005,2.472
10.874,-46.974,26.148,0.005,2.47
10.873,-46.98,26.128,0.003,2.47
10.872,-46.982,26.119,0.003,2.47
10.873,-46.979,26.086,0.005,2.466
10.877,-46.967,26,0.006,2.47
10.877,-46.953,25.916,0.001,2.471
10.872,-46.939,25.851,0.006,2.47
10.862,-46.926,25.757,0.006,2.47
10.857,-46.921,25.726,0.003,2.471
