z_pen,force_z
-25.836,3.765
-25.694,3.451
-25.364,3.122
-24.804,2.612
-24.614,2.494
-23.738,1.961
-23.499,1.888
-22.798,1.634
-22.258,1.447
-21.556,1.229
-19.959,0.873
-19.196,0.72
-17.505,0.511
-16.08,0.386
-14.77,0.325
-13.642,0.264
-12.456,0.215
-10.956,0.149
-9.903,0.104
-9.066,0.078
-7.333,0.051
-6.471,0.05
-5.257,0.024
-4.528,0.008
-3.309,0
-2.581,0.008
-1.737,-0.027
-0.475,-0.046
0.267,-0.044
1.302,-0.063
2.089,-0.077
2.801,-0.087
3.908,-0.095
5.159,-0.104
6.407,-0.116
8.442,-0.107
9.988,-0.09
10.741,-0.089
11.956,-0.096
12.687,-0.079
13.583,-0.06
14.058,-0.065
14.816,-0.073
15.462,-0.075
16.487,-0.061
17.315,-0.077
18.15,-0.106
18.67,-0.117
