z_pen,force_z
-31.438,3.017
-31.325,2.972
-31.312,2.973
-31.328,2.984
-31.416,3.009
-31.5,2.991
-31.577,3.022
-31.729,3.075
-31.827,3.105
-31.975,3.167
-31.89,3.137
-31.94,3.178
-31.964,3.19
-31.952,3.163
-31.964,3.157
-31.964,3.156
-31.904,3.138
-31.869,3.136
-31.813,3.123
-31.76,3.109
-31.703,3.094
-31.643,3.077
-31.659,3.089
-31.722,3.08
-31.722,3.081
-31.696,3.077
-31.696,3.083
-31.696,3.079
-31.68,3.082
-31.668,3.066
-31.569,3.034
-31.495,3.034
-31.47,3.007
-31.41,2.98
-31.343,2.947
-31.228,2.897
-31.052,2.853
-30.863,2.797
-30.769,2.784
-30.607,2.731
-30.42,2.711
-30.425,2.706
-30.409,2.704
-30.242,2.648
-30.088,2.605
-29.919,2.548
-29.701,2.494
-29.491,2.427
-29.255,2.36
-29.009,2.3
-28.775,2.257
-28.662,2.23
-28.3,2.147
-27.686,1.996
-27.215,1.894
-27.065,1.862
-26.735,1.79
-26.196,1.67
-25.171,1.489
-23.845,1.283
-23.273,1.219
-22.882,1.182
-22.543,1.151
-22.104,1.097
-21.591,1.026
-21.257,0.982
-20.887,0.941
-20.422,0.905
-20.153,0.889
-19.857,0.837
-19.393,0.772
-18.541,0.689
-17.522,0.636
-17.212,0.617
-16.915,0.591
-16.56,0.568
-15.491,0.471
-14.564,0.419
-13.763,0.374
-13.502,0.355
-12.244,0.288
-11.739,0.286
-11.32,0.289
-10.842,0.259
-10.329,0.226
-9.703,0.206
-9.315,0.195
-8.84,0.18
-7.924,0.136
-7.32,0.115
-6.76,0.11
-6.215,0.111
-5.755,0.11
-5.267,0.084
-4.462,0.058
-3.941,0.049
-3.188,0.035
-2.404,0.021
-1.568,0.001
-0.414,-0.028
0.232,-0.065
0.935,-0.055
1.746,-0.079
3.282,-0.096
4.213,-0.098
5.239,-0.098
6.218,-0.091
7.782,-0.093
8.763,-0.094
