z_pen,force_z
19.323,0.019
19.26,0.025
19.069,0.023
18.796,0.03
18.623,0.029
18.27,0.037
18.033,0.023
17.726,0.006
17.431,0.034
17.155,0.038
16.928,0.025
16.667,0.038
16.112,0.054
15.684,0.018
15.568,0.003
15.465,0.013
15.403,0.018
15.205,0.01
14.821,0.027
14.65,0.015
14.544,0.009
14.39,0.02
14.179,0.027
13.695,0.031
13.526,0.026
13.338,0.016
13.133,0.013
12.892,0.02
12.56,0.013
12.328,0.025
12.032,0.041
11.805,0.044
11.408,0.042
10.983,0.022
10.494,0.025
10.227,0.018
9.863,0.038
9.456,0.024
8.977,0.023
8.538,0.044
8.202,0.027
7.942,0.024
7.638,0.027
7.196,0.049
6.45,0.048
6.064,0.038
5.589,0.044
5.335,0.042
5.023,0.018
4.601,0.05
3.748,0.045
3.554,0.009
3.228,0.045
2.987,0.029
2.722,0.038
2.442,0.04
1.897,0.067
1.622,-0.004
1.334,0.017
1.035,0.043
0.612,0.023
0.249,-0.038
-0.489,-0.017
-1.285,-0.046
-1.899,-0.046
-2.837,-0.048
-3.64,-0.078
-3.767,-0.127
-3.737,-0.125
-3.743,-0.121
-3.768,-0.121
-4.824,-0.083
-5.444,-0.091
-6.399,-0.123
-6.844,-0.161
-7.001,-0.162
-7.152,-0.166
-7.453,-0.176
-7.633,-0.19
-7.685,-0.195
-7.749,-0.19
-7.964,-0.177
-8.637,-0.162
-9.363,-0.174
-10.216,-0.234
-10.454,-0.264
-10.512,-0.274
-10.564,-0.279
-10.611,-0.286
-10.64,-0.281
-10.79,-0.276
-11.006,-0.276
-11.57,-0.284
-12.029,-0.308
-12.46,-0.358
-12.478,-0.368
-12.495,-0.37
-12.663,-0.365
-12.861,-0.365
-13.152,-0.37
-13.52,-0.39
-13.992,-0.415
-14.288,-0.458
-14.357,-0.457
-14.404,-0.46
-14.515,-0.462
-14.784,-0.475
-15.035,-0.49
-15.24,-0.499
-15.805,-0.527
-16.185,-0.553
-17.072,-0.623
-17.581,-0.657
-18.635,-0.748
-19.204,-0.807
-19.367,-0.823
-20.107,-0.894
-20.329,-0.917
-20.681,-0.951
-21.258,-1.012
-21.678,-1.056
-22.027,-1.086
-22.424,-1.111
-22.98,-1.145
-23.369,-1.159
-23.654,-1.166
-24.038,-1.16
-24.326,-1.146
-24.721,-1.122
-24.895,-1.108
-24.963,-1.111
-25.017,-1.106
-25.034,-1.108
-25.12,-1.092
-25.44,-1.027
-25.56,-0.997
-25.615,-0.987
-25.694,-0.985
-25.694,-0.964
-25.723,-0.955
-25.811,-0.909
-26.165,-0.772
-26.312,-0.717
-26.337,-0.71
-26.395,-0.658
-26.61,-0.539
-26.756,-0.441
-26.798,-0.444
-26.81,-0.437
-26.872,-0.372
-27.042,-0.276
-27.121,-0.213
-27.158,-0.205
-27.158,-0.244
-27.15,-0.197
-27.234,-0.17
-27.348,-0.075
-27.39,-0.062
-27.378,-0.045
-27.368,-0.051
-27.364,-0.04
-27.331,-0.081
-27.323,-0.043
-27.311,-0.063
-27.298,-0.024
-27.323,-0.026
-27.318,-0.062
-27.356,-0.02
-27.423,-0.017
-27.398,-0.017
-27.488,0.104
-27.504,0.118
-27.486,0.135
-27.571,0.222
-27.743,0.437
-27.827,0.563
-27.845,0.572
-27.899,0.656
-28.111,0.943
-28.294,1.191
-28.372,1.3
-28.43,1.374
-28.567,1.611
-28.743,1.9
-28.718,1.913
-28.705,1.89
-28.789,2.094
-28.835,2.16
-28.854,2.218
-28.866,2.304
-28.896,2.377
-29.001,2.589
-29.028,2.713
-29.009,2.697
-29.008,2.74
-29.016,2.808
-29.064,2.899
-29.083,2.941
-29.116,3.055
