z_pen,force_z
-30.0662,3.08
-29.5086,3.022
-28.3764,2.877
-26.299,2.661
-24.786,2.543
-24.0414,2.448
-22.7222,2.297
-20.9032,2.145
-20.8454,2.141
-20.315,2.068
-19.244,1.937
-16.8504,1.693
-15.436,1.574
-14.569,1.473
-13.5354,1.362
-12.6684,1.277
-9.996,0.988
-8.5646,0.856
-7.871,0.783
-6.6708,0.649
-5.4298,0.517
-4.3826,0.411
-3.468,0.356
-3.4816,0.351
-2.3868,0.202
-0.1666,-0.021
0.5746,-0.009
0.5712,0.002
0.6834,-0.007
2.8628,-0.057
5.3822,-0.073
7.905,-0.063
10.2612,-0.037
12.3488,-0.051
14.076,-0.045
15.6128,-0.044
18.4688,-0.031
19.2406,-0.03
20.366,-0.029
22.5216,-0.043
23.97,-0.037
