z_pen,force_z
85.442,-0.00027183
85.442,-0.00027183
85.442,-0.00027183
85.435,-0.00027183
85.435,-0.00027183
85.421,-0.00027183
85.421,-0.00027183
85.414,-0.00027183
85.414,-0.00027183
85.414,-0.00027183
85.414,-0.00052845
85.4,-0.00052845
85.4,-0.00052845
85.393,-0.00052845
85.393,-0.00052845
85.393,-0.00052845
85.393,-0.00052845
85.379,-0.00052845
85.379,-0.00052845
85.372,-0.00052845
85.372,-0.00052845
85.372,-0.00052845
85.365,-0.00052845
85.351,-0.00052845
85.351,-0.00052845
85.351,-0.00052845
85.344,-0.00052845
85.344,-0.00052845
85.344,-0.00052845
85.344,-0.00052845
85.33,-0.00052845
85.323,-0.00052845
85.323,-0.00052845
85.323,-0.00052845
85.323,-0.00052845
85.309,-0.00052845
85.309,-0.00052845
85.309,-0.00052845
85.309,-0.00052845
85.302,-0.0026527
85.302,-0.0026527
85.302,-0.0026527
85.288,-0.0026527
85.281,-0.0026527
85.281,-0.0026527
85.274,-0.0026527
85.274,-0.0026527
85.274,-0.0026527
85.274,-0.0026527
85.274,-0.0026527
85.26,-0.0026527
85.26,-0.0026527
85.26,-0.0026527
85.253,-0.0026527
85.253,-0.0026527
85.253,-0.0026527
85.253,-0.0026527
85.239,-0.0026527
85.239,-0.0026527
85.239,-0.0026527
85.239,-0.0026527
85.239,-0.0026527
85.239,-0.0021045
85.232,-0.0021045
85.232,-0.0021045
85.232,-0.0021045
85.232,-0.0021045
85.232,-0.0021045
85.232,-0.0021045
85.197,-0.0021045
85.197,-0.0021045
85.197,-0.0021045
85.197,-0.0021045
85.197,-0.0021045
85.19,-0.0021045
85.19,-0.0021045
85.19,-0.0021045
85.19,-0.0021045
85.19,0.0010367
85.19,0.0010367
85.19,0.0010367
85.19,0.0010367
85.19,0.0010367
85.19,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.176,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,0.0010367
85.169,-0.0019537
85.169,-0.0019537
85.169,-0.0019537
85.169,-0.0019537
85.169,-0.0019537
85.169,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0019537
85.176,-0.0035806
85.176,-0.0035806
85.176,-0.0035806
85.176,-0.0035806
85.176,-0.0035806
85.176,-0.0035806
