Experiment	Tip Move	
Saved Date	28.02.2022 15:00:04	
User		
Comment01	Diagonal, bottom left to upper right	
Lock-in>Lock-in status	ON	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	719E+0	
Lock-in>Amplitude	6E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	155.425E+0	
Lock-in>HP Filter Order D1	1	
Lock-in>HP Filter Order D2	1	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	6.40498E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	1.2434E+3	
Lock-in>LP Filter Cutoff D2 (Hz)	2.4868E+3	
Lock-in>LP Filter Order D1	2	
Lock-in>LP Filter Order D2	2	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	D:\220228_cu111_W_AFM	
NanonisMain>SW Version	Generic 5	
NanonisMain>UI Release	11391	
NanonisMain>RT Release	11386	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Scan>Scanfield	13.0345E-9;-48.9647E-9;7E-9;7E-9;0E+0	
Scan>series name	%y%m%d_Cu	
Scan>channels	Current (A);Bias (V);X (m);Y (m);Z (m);OC D1 Phase (deg);OC D1 Amplitude (m);OC M1 Freq. Shift (Hz);OC M1 Excitation (V);LI Demod 1 X (A);LI Demod 1 Y (A)	
Scan>pixels/line	208	
Scan>lines	208	
Scan>speed forw. (m/s)	3.03188E-9	
Scan>speed backw. (m/s)	3.03188E-9	
Z-Controller>Z (m)	284.026E-12	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	100E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	700E-15	
Z-Controller>I gain	23.3333E-9	
Z-Controller>Time const (s)	30E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Current (A)	Bias (V)	X (m)	Y (m)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
-1.0434571E-10	-1.0000001E-1	9.5482502E-9	-5.2437336E-8	-3.2671626E-12	-1.5668761E+2	1.3623844E-12	0.0000000E+0	3.2147286E-3	4.5388376E-12	1.0664481E-12
-9.9237528E-11	-1.0000001E-1	9.5486046E-9	-5.2436985E-8	-2.9014033E-12	-1.4833673E+2	1.5273147E-12	0.0000000E+0	3.2147286E-3	4.5388376E-12	1.0664481E-12
-9.6719521E-11	-1.0000001E-1	9.5489581E-9	-5.2436633E-8	-3.3619223E-12	-1.2285545E+2	1.8307842E-12	0.0000000E+0	3.2147286E-3	4.5235044E-12	9.6322408E-13
-1.0507296E-10	-1.0000001E-1	9.5493098E-9	-5.2436270E-8	-3.1646278E-12	-9.9507866E+1	1.2766579E-12	0.0000000E+0	3.2147286E-3	4.5005046E-12	8.0838797E-13
-9.7314615E-11	-1.0000001E-1	9.5496633E-9	-5.2435922E-8	-2.9436510E-12	-1.2232890E+2	3.7702583E-13	0.0000000E+0	3.2147286E-3	4.5005046E-12	8.0838797E-13
-9.9748244E-11	-1.0000001E-1	9.5500177E-9	-5.2435563E-8	-3.3460838E-12	6.2239269E+1	7.0837054E-13	0.0000000E+0	3.2147286E-3	4.5459929E-12	8.0846061E-13
-1.0479265E-10	-1.0000001E-1	9.5503712E-9	-5.2435219E-8	-2.8901447E-12	3.0535395E+1	1.1096172E-12	0.0000000E+0	3.2147286E-3	4.5763189E-12	8.0850897E-13
-9.5589162E-11	-1.0000001E-1	9.5507229E-9	-5.2434860E-8	-2.9040403E-12	-4.3768787E+1	4.4584757E-13	0.0000000E+0	3.2147286E-3	4.5763189E-12	8.0850897E-13
-1.0183274E-10	-1.0000001E-1	9.5510773E-9	-5.2434508E-8	-3.2513100E-12	6.7615799E+1	5.3306182E-13	0.0000000E+0	3.2147286E-3	4.6867709E-12	1.0999605E-12
-1.0299654E-10	-1.0000001E-1	9.5514308E-9	-5.2434153E-8	-2.7415130E-12	2.0225317E+1	1.0810572E-12	0.0000000E+0	3.2147286E-3	4.6990437E-12	1.1323440E-12
-9.5135809E-11	-1.0000001E-1	9.5517816E-9	-5.2433798E-8	-2.9686139E-12	6.8041420E+1	2.0497547E-12	0.0000000E+0	3.2147286E-3	4.7074783E-12	1.1159489E-12
-1.0385347E-10	-1.0000001E-1	9.5521360E-9	-5.2433442E-8	-3.1405475E-12	8.6553085E+1	2.5111306E-12	0.0000000E+0	3.2147286E-3	4.7833890E-12	9.6839388E-13
