zpen (mm),Force (N),dI/dV (S)
-5.538,1.271,4.46
-5.482,1.406,4.442
-5.435,1.467,4.442
-5.447,1.455,4.442
-5.447,1.45,4.424
-5.447,1.453,4.388
-5.47,1.441,4.445
-5.423,1.448,4.469
-5.388,1.427,4.388
-5.342,1.351,4.474
-5.43,1.396,4.426
-5.402,1.47,4.463
-5.455,1.447,4.403
-5.485,1.497,4.399
-5.491,1.426,4.275
-5.491,1.418,4.424
-5.59,1.314,4.5
-5.429,1.415,4.39
-5.352,1.486,4.37
-5.345,1.354,4.359
-5.391,1.351,4.355
-5.401,1.331,4.447
-5.399,1.336,4.366
-5.284,1.402,4.345
-5.318,1.321,4.406
-5.393,1.325,4.429
-5.381,1.388,4.444
-5.347,1.404,4.434
-5.31,1.402,4.377
-5.355,1.343,4.479
-5.355,1.344,4.406
-5.284,1.433,4.41
-5.219,1.336,4.463
-5.242,1.346,4.399
-5.225,1.404,4.359
-5.224,1.326,4.451
-5.315,1.31,4.435
-5.298,1.412,4.442
-5.298,1.396,4.415
-5.303,1.408,4.379
-5.296,1.37,4.369
-5.282,1.32,4.377
-5.309,1.321,4.355
-5.315,1.331,4.421
-5.307,1.3,4.373
-5.27,1.364,4.411
-5.245,1.299,4.381
-5.237,1.346,4.398
-5.26,1.32,4.375
-5.272,1.343,4.396
-5.248,1.305,4.492
-5.229,1.324,4.314
-5.121,1.397,4.367
-5.12,1.192,4.382
-5.201,1.289,4.306
-5.207,1.302,4.386
-5.347,1.275,4.435
-5.427,1.386,4.35
-5.344,1.402,4.433
-5.313,1.301,4.392
-5.295,1.389,4.431
-5.249,1.327,4.381
-5.22,1.365,4.352
-5.232,1.308,4.397
-5.272,1.289,4.422
-5.267,1.34,4.414
-5.256,1.363,4.43
-5.255,1.359,4.368
-5.198,1.351,4.35
-5.188,1.28,4.429
-5.21,1.268,4.395
-5.21,1.357,4.46
-5.411,1.397,4.428
-5.418,1.472,4.278
-5.426,1.429,4.363
-5.479,1.275,4.294
