x (nm),y (nm),zpen (mm),F (N),zstm (nm)
-392.444,-381.161,9.504,0.053,-11.402
-392.422,-381.11,8.833,0.058,-11.402
-392.39,-381.075,8.213,0.063,-11.402
-392.348,-381.027,6.574,0.068,-11.402
-392.339,-381.009,5.713,0.063,-11.402
-392.322,-380.981,5.231,0.06,-11.402
-392.298,-380.907,3.848,0.106,-11.402
-392.268,-380.855,1.532,0.132,-11.402
-392.253,-380.843,0.956,0.128,-11.402
-392.194,-380.791,-0.722,0.143,-11.402
-392.134,-380.715,-2.304,0.141,-11.402
-392.113,-380.68,-3.055,0.145,-11.402
-392.103,-380.643,-4.279,0.173,-11.402
-392.101,-380.622,-5.762,0.198,-11.401
-392.099,-380.604,-7.003,0.204,-11.402
-392.103,-380.598,-7.603,0.223,-11.402
-392.109,-380.593,-8.03,0.246,-11.401
-392.115,-380.586,-8.378,0.268,-11.402
-392.119,-380.58,-8.725,0.297,-11.402
-392.119,-380.576,-9.231,0.326,-11.402
-392.111,-380.574,-9.472,0.329,-11.402
-392.111,-380.564,-9.542,0.341,-11.401
-392.121,-380.539,-9.924,0.41,-11.401
-392.128,-380.533,-10.125,0.45,-11.402
-392.148,-380.525,-10.607,0.516,-11.402
-392.177,-380.517,-11.382,0.673,-11.401
-392.186,-380.522,-11.814,0.761,-11.402
-392.187,-380.536,-11.865,0.745,-11.402
-392.188,-380.547,-11.802,0.727,-11.402
-392.191,-380.559,-11.762,0.718,-11.402
-392.192,-380.568,-11.851,0.759,-11.402
-392.195,-380.572,-12,0.802,-11.402
-392.199,-380.575,-12.081,0.825,-11.402
-392.203,-380.581,-12.151,0.847,-11.402
-392.208,-380.587,-12.177,0.85,-11.402
-392.221,-380.597,-12.165,0.844,-11.402
-392.277,-380.628,-12.392,0.942,-11.402
-392.298,-380.65,-12.642,1.036,-11.402
-392.303,-380.658,-12.703,1.056,-11.402
-392.311,-380.678,-12.763,1.067,-11.402
-392.313,-380.706,-12.654,1.016,-11.402
-392.309,-380.713,-12.627,1.01,-11.401
-392.305,-380.713,-12.627,1.011,-11.401
-392.303,-380.714,-12.627,1.011,-11.401
-392.303,-380.712,-12.621,1.011,-11.401
-392.304,-380.702,-12.634,1.016,-11.401
-392.305,-380.697,-12.655,1.024,-11.401
-392.305,-380.697,-12.701,1.041,-11.401
-392.3,-380.707,-12.716,1.046,-11.401
-392.295,-380.713,-12.752,1.066,-11.401
-392.295,-380.714,-12.816,1.093,-11.401
-392.299,-380.712,-12.838,1.102,-11.401
-392.3,-380.713,-12.833,1.098,-11.401
-392.293,-380.714,-12.833,1.098,-11.401
-392.278,-380.717,-12.821,1.093,-11.401
-392.265,-380.718,-12.809,1.088,-11.401
-392.262,-380.716,-12.779,1.076,-11.401
-392.262,-380.71,-12.806,1.089,-11.401
-392.261,-380.708,-12.816,1.092,-11.401
-392.261,-380.707,-12.822,1.094,-11.401
-392.262,-380.707,-12.822,1.093,-11.402
-392.265,-380.702,-12.837,1.102,-11.402
-392.266,-380.701,-12.843,1.105,-11.402
-392.265,-380.702,-12.837,1.094,-11.402
-392.261,-380.705,-12.815,1.087,-11.402
-392.249,-380.709,-12.764,1.061,-11.402
-392.237,-380.708,-12.695,1.032,-11.402
-392.233,-380.704,-12.658,1.025,-11.402
-392.236,-380.697,-12.69,1.041,-11.402
-392.237,-380.69,-12.716,1.051,-11.402
-392.237,-380.689,-12.71,1.043,-11.402
-392.236,-380.688,-12.698,1.037,-11.402
-392.237,-380.689,-12.693,1.037,-11.402
-392.237,-380.691,-12.699,1.041,-11.402
-392.238,-380.694,-12.684,1.031,-11.402
-392.238,-380.698,-12.668,1.027,-11.402
-392.241,-380.7,-12.657,1.023,-11.402
-392.243,-380.701,-12.652,1.021,-11.401
-392.248,-380.7,-12.652,1.021,-11.402
-392.247,-380.7,-12.652,1.021,-11.402
-392.246,-380.698,-12.646,1.018,-11.402
-392.246,-380.698,-12.606,0,-11.402
-392.245,-380.699,-12.6,0.999,-11.402
-392.242,-380.707,-12.528,0.961,-11.402
-392.244,-380.718,-12.293,0.847,-11.401
-392.249,-380.747,-11.639,0.601,-11.402
-392.257,-380.782,-10.623,0.342,-11.401
-392.26,-380.802,-9.86,0.214,-11.401
-392.259,-380.795,-7.351,-0.024,-11.401
-392.274,-380.734,-5.293,-0.054,-11.401
-392.278,-380.717,-4.536,-0.096,-11.401
-392.267,-380.727,-2.716,-0.208,-11.402
-392.244,-380.772,0.121,-0.362,-11.402
-392.248,-380.84,4.403,-0.416,-11.402
-392.291,-380.902,9.387,-0.325,-11.402
-392.298,-380.949,12.37,-0.232,-11.402
-392.268,-381.017,15.323,-0.223,-11.401
-392.252,-381.09,18.654,-0.223,-11.402
-392.267,-381.113,20.274,-0.175,-11.401
-392.294,-381.122,21.55,-0.091,-11.401
-392.311,-381.12,22.701,-0.078,-11.401
-392.321,-381.136,23.903,-0.118,-11.401
-392.36,-381.157,25.659,-0.11,-11.401
-392.393,-381.156,26.644,-0.053,-11.401
-392.406,-381.169,27.423,-0.069,-11.401
-392.42,-381.212,29.025,-0.116,-11.401
-392.448,-381.25,30.758,-0.117,-11.401
-392.454,-381.277,31.922,-0.108,-11.4
-392.46,-381.338,34.273,-0.125,-11.4
-392.468,-381.37,35.536,-0.132,-11.4
-392.479,-381.393,36.86,-0.107,-11.4
-392.499,-381.397,37.895,-0.052,-11.4
-392.501,-381.389,38.331,-0.019,-11.4
-392.498,-381.381,38.589,-0.024,-11.4
-392.496,-381.37,39.051,-0.02,-11.4
-392.497,-381.367,39.143,-0.021,-11.4
-392.502,-381.364,39.403,-0.015,-11.4
-392.506,-381.375,39.621,-0.019,-11.4
-392.513,-381.384,39.718,-0.002,-11.4
-392.514,-381.398,39.826,-0.005,-11.4
-392.514,-381.415,39.935,-0.008,-11.4
-392.509,-381.417,39.982,-0.001,-11.4
-392.502,-381.41,40.045,-0.009,-11.4
-392.481,-381.384,40.452,-0.01,-11.4
-392.479,-381.378,40.523,-0.009,-11.4
-392.479,-381.372,40.642,-0.014,-11.4
-392.485,-381.373,40.82,-0.018,-11.4
-392.491,-381.375,40.97,-0.008,-11.4
-392.49,-381.372,40.941,0.004,-11.4
-392.489,-381.372,40.941,0,-11.4
-392.487,-381.374,40.951,-0.005,-11.4
-392.489,-381.384,41.058,-0.007,-11.4
-392.49,-381.382,41.038,0.007,-11.4
-392.49,-381.38,40.982,0.001,-11.4
-392.49,-381.383,40.983,0,-11.4
-392.49,-381.383,40.983,0,-11.4
-392.49,-381.38,40.954,0.003,-11.4
-392.49,-381.38,40.954,0,-11.4
-392.49,-381.381,40.945,0.004,-11.4
-392.491,-381.385,40.928,0.002,-11.4
-392.491,-381.388,40.892,0.003,-11.4
-392.491,-381.389,40.883,0.003,-11.4
-392.493,-381.389,40.874,0.004,-11.4
-392.492,-381.39,40.865,0,-11.4
-392.49,-381.388,40.836,0.003,-11.4
-392.489,-381.38,40.758,0.004,-11.4
-392.488,-381.379,40.748,0,-11.4
-392.488,-381.379,40.748,0,-11.4
-392.49,-381.381,40.73,0.001,-11.4
-392.494,-381.378,40.627,0.006,-11.4
-392.493,-381.374,40.467,0.009,-11.4
-392.484,-381.374,40.345,-0.002,-11.4
-392.485,-381.374,40.364,0.002,-11.4
-392.489,-381.373,40.345,0,-11.4
-392.491,-381.372,40.336,0.002,-11.4
-392.496,-381.368,40.242,0.007,-11.4
-392.495,-381.369,40.233,0,-11.4
-392.494,-381.37,40.233,0,-11.4
-392.493,-381.372,40.215,0.001,-11.4
-392.494,-381.373,40.141,0.011,-11.4
-392.497,-381.372,40.066,0.01,-11.4
-392.496,-381.372,39.796,0.011,-11.4
-392.496,-381.376,39.695,0.013,-11.4
-392.497,-381.379,39.464,0.02,-11.4
-392.497,-381.378,39.305,0.028,-11.4
-392.503,-381.378,38.831,0.039,-11.4
-392.501,-381.365,37.748,0.08,-11.4
-392.498,-381.353,36.686,0.116,-11.4
-392.496,-381.337,35.052,0.136,-11.4
-392.502,-381.33,33.662,0.139,-11.4
-392.559,-381.291,28.824,0.204,-11.4
-392.566,-381.284,28.077,0.199,-11.4
-392.58,-381.264,26.124,0.219,-11.4
-392.601,-381.245,23.403,0.196,-11.4
-392.621,-381.243,20.812,0.147,-11.399
-392.628,-381.236,19.517,0.117,-11.399
-392.652,-381.213,17.743,0.124,-11.399
-392.662,-381.192,15.887,0.141,-11.399
-392.65,-381.168,12.633,0.153,-11.399
-392.647,-381.165,12.024,0.154,-11.399
-392.636,-381.15,10.116,0.152,-11.399
-392.628,-381.131,8.597,0.149,-11.399
-392.619,-381.095,4.867,0.124,-11.399
-392.618,-381.09,3.764,0.116,-11.399
-392.617,-381.087,3.299,0.116,-11.399
-392.615,-381.077,1.921,0.121,-11.399
-392.614,-381.066,0.133,0.166,-11.399
-392.614,-381.065,-1.18,0.168,-11.399
-392.614,-381.067,-2.303,0.158,-11.399
-392.608,-381.061,-3.993,0.187,-11.399
-392.598,-381.023,-6.274,0.266,-11.399
-392.586,-380.988,-8.172,0.31,-11.399
-392.584,-380.982,-8.451,0.311,-11.399
-392.586,-380.973,-8.869,0.323,-11.399
-392.593,-380.965,-9.171,0.351,-11.399
-392.596,-380.962,-9.723,0.433,-11.399
-392.594,-380.954,-10.477,0.559,-11.399
-392.59,-380.944,-11.092,0.664,-11.399
-392.589,-380.937,-11.498,0.716,-11.399
-392.589,-380.938,-11.522,0.721,-11.399
-392.587,-380.945,-11.604,0.756,-11.399
-392.588,-380.949,-11.93,0.887,-11.399
-392.588,-380.949,-12.402,1.057,-11.399
-392.591,-380.951,-12.49,1.091,-11.399
-392.592,-380.954,-12.45,1.07,-11.399
-392.591,-380.95,-12.484,1.051,-11.399
-392.589,-380.942,-12.523,1.069,-11.399
-392.587,-380.934,-12.475,1.043,-11.399
-392.587,-380.933,-12.422,1.012,-11.399
-392.587,-380.932,-12.41,1.032,-11.399
-392.587,-380.933,-12.352,0.993,-11.399
-392.586,-380.93,-12.352,1,-11.399
-392.58,-380.923,-12.344,0.998,-11.399
-392.571,-380.92,-12.285,0.968,-11.399
-392.564,-380.916,-12.209,0.937,-11.399
-392.545,-380.906,-12.101,0.923,-11.399
-392.546,-380.904,-12.124,0.912,-11.399
-392.549,-380.903,-12.142,0.92,-11.399
-392.555,-380.904,-12.119,0.898,-11.399
-392.557,-380.905,-12.096,0.868,-11.399
-392.557,-380.905,-12.108,0.889,-11.399
-392.558,-380.91,-12.056,0.858,-11.399
-392.559,-380.912,-11.975,0.83,-11.399
-392.562,-380.911,-11.865,0.814,-11.399
-392.57,-380.908,-11.853,0.807,-11.399
-392.585,-380.902,-11.882,0.804,-11.399
-392.586,-380.9,-11.887,0.811,-11.399
-392.586,-380.899,-11.893,0.802,-11.399
-392.585,-380.899,-11.91,0.82,-11.399
-392.584,-380.9,-11.922,0.823,-11.399
-392.582,-380.902,-11.911,0.845,-11.399
-392.579,-380.909,-11.854,0.833,-11.399
-392.583,-380.911,-11.854,0.844,-11.399
-392.586,-380.909,-11.86,0.85,-11.399
-392.592,-380.908,-11.86,0.84,-11.399
-392.593,-380.908,-11.86,0.835,-11.399
-392.593,-380.908,-11.872,0.836,-11.399
-392.593,-380.908,-11.872,0.825,-11.399
-392.593,-380.907,-11.877,0.814,-11.399
-392.613,-380.895,-11.957,0.845,-11.399
-392.62,-380.892,-11.98,0.845,-11.399
-392.614,-380.887,-11.961,0.838,-11.399
-392.61,-380.887,-11.938,0.831,-11.399
-392.609,-380.887,-11.926,0.845,-11.399
-392.61,-380.886,-11.874,0.824,-11.399
-392.614,-380.883,-11.868,0.803,-11.399
-392.614,-380.887,-11.851,0.798,-11.399
-392.615,-380.89,-11.834,0.784,-11.399
-392.614,-380.891,-11.846,0.819,-11.398
-392.616,-380.888,-11.828,0.827,-11.398
-392.615,-380.887,-11.805,0.839,-11.398
-392.615,-380.89,-11.794,0.835,-11.399
-392.615,-380.891,-11.788,0.795,-11.399
-392.616,-380.891,-11.788,0.795,-11.399
-392.617,-380.891,-11.782,0.795,-11.399
-392.617,-380.891,-11.782,0.783,-11.399
-392.618,-380.891,-11.782,0.792,-11.399
-392.618,-380.893,-11.777,0.786,-11.398
-392.619,-380.898,-11.737,0.788,-11.398
-392.619,-380.9,-11.714,0.789,-11.398
-392.619,-380.898,-11.72,0.801,-11.398
-392.618,-380.896,-11.731,0.804,-11.399
-392.618,-380.896,-11.719,0.8,-11.399
-392.618,-380.894,-11.696,0.78,-11.399
-392.618,-380.894,-11.696,0.777,-11.399
-392.618,-380.894,-11.696,0.777,-11.399
-392.618,-380.894,-11.684,0.761,-11.399
-392.62,-380.892,-11.661,0.759,-11.398
-392.626,-380.886,-11.643,0.765,-11.398
-392.632,-380.883,-11.666,0.78,-11.398
-392.629,-380.881,-11.688,0.785,-11.398
-392.622,-380.884,-11.7,0.786,-11.398
-392.624,-380.882,-11.706,0.793,-11.398
-392.636,-380.877,-11.717,0.796,-11.399
-392.648,-380.874,-11.763,0.803,-11.399
-392.65,-380.873,-11.821,0.806,-11.398
-392.647,-380.874,-11.85,0.816,-11.398
-392.645,-380.871,-11.861,0.819,-11.398
-392.644,-380.869,-11.843,0.817,-11.398
-392.641,-380.867,-11.831,0.829,-11.398
-392.633,-380.852,-11.892,0.863,-11.398
-392.631,-380.845,-11.925,0.873,-11.398
-392.63,-380.842,-11.913,0.863,-11.398
-392.629,-380.837,-11.935,0.88,-11.398
-392.626,-380.837,-11.969,0.875,-11.398
-392.611,-380.839,-11.975,0.885,-11.398
-392.611,-380.837,-11.986,0.894,-11.398
-392.61,-380.834,-11.997,0.9,-11.399
-392.609,-380.83,-12.019,0.908,-11.399
-392.608,-380.823,-12.081,0.909,-11.399
-392.607,-380.82,-12.109,0.911,-11.399
-392.599,-380.818,-12.154,0.924,-11.399
-392.57,-380.818,-12.153,0.918,-11.399
-392.563,-380.815,-12.175,0.926,-11.399
-392.565,-380.813,-12.18,0.969,-11.399
-392.565,-380.813,-12.18,0.951,-11.399
-392.566,-380.811,-12.22,0.967,-11.399
-392.565,-380.81,-12.254,0.948,-11.399
-392.567,-380.81,-12.278,0.957,-11.399
