x (nm),y (nm),stmz (nm),tunneling current (pA),Force (N)
11.66,-49.496,0.167,-86.493,1.09
11.661,-49.494,0.167,-86.493,1.094
11.661,-49.493,0.167,-86.493,1.093
11.663,-49.492,0.167,-86.493,1.093
11.671,-49.473,0.167,-86.493,1.098
11.671,-49.473,0.166,-86.764,1.1
11.671,-49.473,0.166,-86.764,1.101
11.672,-49.472,0.166,-86.764,1.097
11.672,-49.471,0.166,-86.764,1.095
11.673,-49.471,0.166,-86.764,1.095
11.673,-49.469,0.166,-86.764,1.097
11.673,-49.469,0.166,-86.764,1.095
11.682,-49.453,0.166,-86.764,1.102
11.683,-49.452,0.165,-87.346,1.104
11.684,-49.45,0.165,-87.346,1.107
11.685,-49.448,0.165,-87.346,1.112
11.686,-49.448,0.165,-87.346,1.112
11.686,-49.446,0.165,-87.346,1.11
11.687,-49.445,0.165,-87.346,1.108
11.702,-49.425,0.165,-87.346,1.1
11.703,-49.424,0.164,-87.346,1.103
11.704,-49.424,0.164,-90.053,1.1
11.704,-49.423,0.164,-90.053,1.124
11.705,-49.422,0.164,-90.053,1.125
11.714,-49.41,0.164,-90.053,1.114
11.715,-49.408,0.164,-90.053,1.117
11.715,-49.408,0.164,-90.053,1.114
11.715,-49.408,0.164,-90.053,1.113
11.716,-49.407,0.164,-90.053,1.111
11.716,-49.407,0.164,-90.053,1.113
11.716,-49.407,0.164,-90.053,1.117
11.724,-49.399,0.164,-90.053,1.109
11.724,-49.398,0.164,-91.998,1.109
11.724,-49.398,0.164,-91.998,1.129
11.725,-49.397,0.164,-91.998,1.131
11.725,-49.397,0.164,-91.998,1.129
11.726,-49.397,0.164,-91.998,1.128
11.726,-49.396,0.164,-91.998,1.127
11.727,-49.396,0.164,-91.998,1.125
11.74,-49.386,0.164,-92.286,1.122
11.741,-49.385,0.165,-92.286,1.126
11.742,-49.384,0.165,-92.286,1.123
11.743,-49.384,0.165,-92.286,1.126
11.744,-49.382,0.165,-92.221,1.123
11.745,-49.381,0.165,-92.221,1.121
11.746,-49.381,0.165,-92.221,1.124
11.761,-49.369,0.165,-92.221,1.128
11.761,-49.369,0.165,-92.221,1.131
11.763,-49.368,0.165,-92.221,1.13
11.764,-49.368,0.165,-92.221,1.129
11.765,-49.367,0.165,-92.221,1.128
11.766,-49.366,0.165,-92.221,1.131
11.767,-49.365,0.165,-92.221,1.13
11.782,-49.354,0.166,-100.273,1.131
11.783,-49.353,0.166,-100.273,1.199
11.785,-49.351,0.166,-100.273,1.199
11.786,-49.351,0.166,-100.273,1.2
11.788,-49.349,0.166,-100.273,1.196
11.788,-49.349,0.166,-100.273,1.195
11.836,-49.316,0.166,-100.273,1.193
11.838,-49.315,0.168,-106.096,1.192
11.838,-49.315,0.168,-106.096,1.239
11.841,-49.314,0.168,-106.096,1.238
11.843,-49.313,0.168,-106.096,1.236
11.844,-49.312,0.168,-106.096,1.235
11.862,-49.299,0.168,-108.32,1.231
11.863,-49.298,0.169,-108.32,1.249
11.863,-49.298,0.169,-108.32,1.252
11.864,-49.297,0.169,-108.32,0
11.865,-49.296,0.17,-108.32,1.25
11.866,-49.295,0.17,-108.32,1.251
11.867,-49.295,0.17,-108.32,1.25
11.868,-49.294,0.17,-108.32,1.253
11.885,-49.276,0.17,-110.04,1.268
11.885,-49.276,0.171,-110.04,1.284
11.885,-49.276,0.171,-110.04,1.286
11.885,-49.276,0.171,-110.04,1.284
11.885,-49.275,0.171,-110.04,1.283
11.885,-49.275,0.171,-110.04,1.285
11.885,-49.274,0.171,-110.04,1.284
11.886,-49.275,0.171,-110.04,1.284
11.888,-49.269,0.171,-110.04,1.287
11.889,-49.269,0.171,-107.923,1.285
11.889,-49.269,0.171,-107.923,1.268
11.889,-49.267,0.171,-107.923,1.27
11.89,-49.267,0.171,-107.923,1.272
11.89,-49.267,0.171,-107.923,1.27
11.89,-49.267,0.171,-107.923,1.268
11.89,-49.266,0.171,-107.923,1.272
11.891,-49.266,0.171,-107.923,1.275
11.897,-49.261,0.171,-109.272,1.272
11.897,-49.261,0.171,-109.272,1.284
11.898,-49.26,0.171,-110.025,1.281
11.898,-49.26,0.171,-110.025,1.286
11.899,-49.26,0.171,-110.025,1.285
11.899,-49.26,0.171,-110.025,1.284
11.9,-49.259,0.171,-110.025,1.285
11.912,-49.255,0.172,-108.513,1.283
11.914,-49.254,0.172,-108.513,1.271
11.915,-49.254,0.172,-108.513,1.271
11.916,-49.254,0.172,-108.513,1.27
11.916,-49.254,0.172,-108.513,1.27
11.917,-49.254,0.172,-108.513,1.272
11.918,-49.253,0.172,-108.513,1.271
11.919,-49.254,0.172,-108.513,1.271
11.946,-49.243,0.172,-109.776,1.275
11.948,-49.242,0.172,-109.776,1.283
11.95,-49.241,0.172,-109.776,1.284
11.951,-49.241,0.172,-109.776,1.286
11.952,-49.241,0.172,-109.776,1.285
11.954,-49.24,0.172,-108.687,1.285
11.955,-49.239,0.172,-108.687,1.278
11.978,-49.232,0.172,-108.687,1.28
11.979,-49.232,0.172,-108.687,1.277
11.98,-49.232,0.172,-108.687,1.281
11.982,-49.231,0.172,-108.687,1.278
11.984,-49.231,0.172,-108.687,1.284
11.985,-49.23,0.172,-108.687,1.281
11.987,-49.23,0.172,-108.687,1.283
12.007,-49.223,0.172,-110.679,1.282
12.008,-49.223,0.172,-110.679,1.298
12.009,-49.222,0.172,-110.679,1.298
12.01,-49.222,0.172,-110.679,1.297
12.012,-49.221,0.172,-110.679,1.298
12.013,-49.221,0.172,-110.679,1.297
12.014,-49.22,0.172,-110.679,1.297
12.015,-49.22,0.172,-110.679,1.298
12.036,-49.213,0.172,-111.172,1.295
12.038,-49.212,0.172,-111.172,1.296
12.039,-49.212,0.172,-111.172,1.3
12.039,-49.212,0.172,-111.172,1.296
12.04,-49.212,0.172,-111.172,1.297
12.042,-49.211,0.172,-111.172,1.294
12.054,-49.207,0.172,-111.172,1.301
12.055,-49.206,0.172,-110.537,1.303
12.056,-49.207,0.172,-110.537,1.297
12.057,-49.206,0.172,-110.459,1.292
12.057,-49.206,0.172,-110.459,1.292
12.058,-49.206,0.172,-110.459,1.292
12.066,-49.204,0.172,-110.459,1.291
12.066,-49.204,0.172,-110.386,1.292
12.066,-49.204,0.172,-110.386,1.292
12.066,-49.204,0.172,-110.386,1.292
12.067,-49.203,0.172,-110.386,1.29
12.067,-49.203,0.172,-110.386,1.289
12.067,-49.203,0.172,-110.386,1.293
12.072,-49.2,0.172,-110.479,1.291
12.072,-49.2,0.172,-110.479,1.292
